config_id,episode,n_capture,n_steps
put_back_0,51,0,0
put_back_0,101,0,0
put_back_0,151,0,0
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,101,0,0
put_back_0,151,0,0
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,151,0,0
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,151,1,1
put_back_0,201,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,251,0,0
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,251,1,1
put_back_0,301,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,351,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,401,0,0
put_back_0,451,0,0
put_back_0,451,0,0
put_back_0,251,2,2
put_back_0,351,1,2
put_back_0,451,1,2
put_back_0,101,1,5
put_back_0,201,1,5
put_back_0,251,3,6
put_back_0,151,2,8
put_back_0,351,2,9
put_back_0,401,1,9
put_back_0,1,1,10
put_back_0,351,3,12
put_back_0,151,3,13
put_back_0,301,1,13
put_back_0,1,2,14
put_back_0,151,4,14
put_back_0,401,2,15
put_back_0,451,2,15
put_back_0,251,4,16
put_back_0,351,4,16
put_back_0,201,2,18
put_back_0,301,2,22
put_back_0,1,3,28
put_back_0,351,5,28
put_back_0,401,3,28
put_back_0,1,4,29
put_back_0,51,1,30
put_back_0,101,2,30
put_back_0,451,3,30
put_back_0,151,5,32
put_back_0,101,3,33
put_back_0,1,5,34
put_back_0,1,6,36
put_back_0,351,6,37
put_back_0,451,4,37
put_back_0,201,3,38
put_back_0,301,3,38
put_back_0,1,7,42
put_back_0,51,2,42
put_back_0,101,4,42
put_back_0,451,5,42
put_back_0,51,3,48
put_back_0,101,5,49
put_back_0,301,4,49
put_back_0,401,4,50
put_back_0,301,5,55
put_back_0,351,7,57
put_back_0,401,5,57
put_back_0,451,6,58
put_back_0,101,6,59
put_back_0,1,8,60
put_back_0,251,5,63
put_back_0,301,6,63
put_back_0,201,4,65
put_back_0,1,9,68
put_back_0,451,7,68
put_back_0,101,7,70
put_back_0,251,6,70
put_back_0,351,8,71
put_back_0,151,6,72
put_back_0,201,5,72
put_back_0,1,10,73
put_back_0,351,9,73
put_back_0,451,8,73
put_back_0,101,8,74
put_back_0,351,10,74
put_back_0,51,4,77
put_back_0,251,7,77
put_back_0,401,6,78
put_back_0,351,11,81
put_back_0,1,11,85
put_back_0,51,5,85
put_back_0,351,12,86
put_back_0,451,9,87
put_back_0,1,12,89
put_back_0,451,10,89
put_back_0,401,7,91
put_back_0,151,7,93
put_back_0,201,6,94
put_back_0,401,8,94
put_back_0,451,11,94
put_back_0,101,9,95
put_back_0,101,10,96
put_back_0,251,8,96
put_back_0,351,13,96
put_back_0,351,14,97
put_back_0,1,13,98
put_back_0,51,6,99
put_back_0,151,8,99
put_back_0,451,12,102
put_back_0,151,9,106
put_back_0,251,9,107
put_back_0,401,9,109
put_back_0,51,7,111
put_back_0,101,11,111
put_back_0,251,10,113
put_back_0,1,14,114
put_back_0,301,7,118
put_back_0,451,13,119
put_back_0,151,10,120
put_back_0,301,8,120
put_back_0,251,11,122
put_back_0,401,10,123
put_back_0,151,11,124
put_back_0,51,8,125
put_back_0,1,15,126
put_back_0,301,9,126
put_back_0,351,15,126
put_back_0,351,16,130
put_back_0,401,11,131
put_back_0,251,12,133
put_back_0,101,12,134
put_back_0,51,9,136
put_back_0,451,14,136
put_back_0,301,10,138
put_back_0,401,12,139
put_back_0,151,12,140
put_back_0,451,15,141
put_back_0,401,13,144
put_back_0,51,10,146
put_back_0,251,13,146
put_back_0,301,13,147
put_back_0,451,16,148
put_back_0,351,17,151
put_back_0,101,13,152
put_back_0,201,7,152
put_back_0,151,13,153
put_back_0,1,16,155
put_back_0,251,14,156
put_back_0,51,11,158
put_back_0,151,14,160
put_back_0,351,18,160
put_back_0,401,14,161
put_back_0,201,8,162
put_back_0,301,14,162
put_back_0,401,15,163
put_back_0,51,13,164
put_back_0,251,15,164
put_back_0,101,14,166
put_back_0,1,17,167
put_back_0,101,15,167
put_back_0,401,16,170
put_back_0,251,16,172
put_back_0,51,14,175
put_back_0,1,18,178
put_back_0,351,19,178
put_back_0,401,17,181
put_back_0,151,15,182
put_back_0,101,16,186
put_back_0,151,17,189
put_back_0,201,9,189
put_back_0,301,15,189
put_back_0,51,15,193
put_back_0,101,17,193
put_back_0,251,17,195
put_back_0,101,18,196
put_back_0,201,10,198
put_back_0,51,16,200
put_back_0,51,17,201
put_back_0,201,11,201
put_back_0,51,18,202
put_back_0,251,18,203
put_back_0,51,19,206
put_back_0,151,18,206
put_back_0,351,20,207
put_back_0,101,19,215
put_back_0,301,16,216
put_back_0,151,19,217
put_back_0,1,19,220
put_back_0,151,20,220
put_back_0,201,12,221
put_back_0,101,20,223
put_back_0,1,20,224
put_back_0,351,21,225
put_back_0,251,19,227
put_back_0,251,20,230
put_back_0,351,22,230
put_back_0,1,21,231
put_back_0,101,21,233
put_back_0,51,20,234
put_back_0,151,21,234
put_back_0,101,22,240
put_back_0,101,23,241
put_back_0,251,21,241
put_back_0,151,22,242
put_back_0,201,13,243
put_back_0,151,23,244
put_back_0,351,23,244
put_back_0,101,24,246
put_back_0,51,21,247
put_back_0,151,24,247
put_back_0,251,22,248
put_back_0,1,22,251
put_back_0,1,23,252
put_back_0,201,14,252
put_back_0,101,25,254
put_back_0,201,15,254
put_back_0,251,23,255
put_back_0,51,22,256
put_back_0,451,17,261
put_back_0,251,24,262
put_back_0,351,24,262
put_back_0,151,25,263
put_back_0,51,23,264
put_back_0,1,24,265
put_back_0,351,25,267
put_back_0,151,26,268
put_back_0,401,18,268
put_back_0,1,25,269
put_back_0,51,25,273
put_back_0,151,27,273
put_back_0,1,26,274
put_back_0,401,19,274
put_back_0,101,26,275
put_back_0,351,26,276
put_back_0,401,20,276
put_back_0,451,18,277
put_back_0,51,26,279
put_back_0,401,21,279
put_back_0,151,28,280
put_back_0,451,19,280
put_back_0,51,27,282
put_back_0,101,27,282
put_back_0,101,28,283
put_back_0,201,16,284
put_back_0,351,27,284
put_back_0,1,27,286
put_back_0,251,25,286
put_back_0,201,17,289
put_back_0,251,26,291
put_back_0,101,29,293
put_back_0,301,17,293
put_back_0,1,28,294
put_back_0,101,30,294
put_back_0,1,29,295
put_back_0,151,29,295
put_back_0,351,28,297
put_back_0,251,27,298
put_back_0,201,18,299
put_back_0,301,18,299
put_back_0,401,22,299
put_back_0,51,28,302
put_back_0,351,29,302
put_back_0,51,29,303
put_back_0,351,30,303
put_back_0,151,30,304
put_back_0,251,28,306
put_back_0,351,31,306
put_back_0,351,32,311
put_back_0,251,29,312
put_back_0,101,31,313
put_back_0,401,24,314
put_back_0,51,30,316
put_back_0,101,32,317
put_back_0,201,19,318
put_back_0,251,30,318
put_back_0,351,33,319
put_back_0,401,25,320
put_back_0,301,19,323
put_back_0,151,31,324
put_back_0,1,30,325
put_back_0,151,32,326
put_back_0,201,20,327
put_back_0,51,31,328
put_back_0,151,33,328
put_back_0,301,20,330
put_back_0,401,26,330
put_back_0,51,32,332
put_back_0,101,33,332
put_back_0,151,34,334
put_back_0,1,31,335
put_back_0,351,35,336
put_back_0,451,20,336
put_back_0,251,31,337
put_back_0,51,33,338
put_back_0,451,21,340
put_back_0,451,22,342
put_back_0,51,34,343
put_back_0,101,34,347
put_back_0,251,32,350
put_back_0,151,35,352
put_back_0,101,35,353
put_back_0,251,33,353
put_back_0,351,36,354
put_back_0,401,27,354
put_back_0,401,28,355
put_back_0,101,36,356
put_back_0,201,21,357
put_back_0,451,23,358
put_back_0,401,29,359
put_back_0,451,24,359
put_back_0,151,36,362
put_back_0,1,32,363
put_back_0,451,25,363
put_back_0,351,37,366
put_back_0,51,36,367
put_back_0,101,37,367
put_back_0,151,37,367
put_back_0,301,21,368
put_back_0,451,26,370
put_back_0,51,37,373
put_back_0,251,34,373
put_back_0,151,38,374
put_back_0,201,22,374
put_back_0,301,22,374
put_back_0,101,38,378
put_back_0,201,23,379
put_back_0,401,30,381
put_back_0,301,23,382
put_back_0,151,39,383
put_back_0,101,39,387
put_back_0,301,24,388
put_back_0,401,31,389
put_back_0,51,38,391
put_back_0,101,40,394
put_back_0,401,32,396
put_back_0,51,39,399
put_back_0,451,27,399
put_back_0,451,28,404
put_back_0,51,40,405
put_back_0,101,41,406
put_back_0,251,35,406
put_back_0,401,33,409
put_back_0,301,25,412
put_back_0,51,41,413
put_back_0,151,40,415
put_back_0,301,26,418
put_back_0,51,42,420
put_back_0,401,34,420
put_back_0,401,35,421
put_back_0,351,39,422
put_back_0,1,33,423
put_back_0,101,42,424
put_back_0,451,29,424
put_back_0,351,40,426
put_back_0,201,24,427
put_back_0,351,41,428
put_back_0,51,43,429
put_back_0,201,25,429
put_back_0,1,34,432
put_back_0,251,36,432
put_back_0,151,41,434
put_back_0,301,27,434
put_back_0,351,42,434
put_back_0,451,31,434
put_back_0,101,43,435
put_back_0,101,44,436
put_back_0,151,42,437
put_back_0,451,32,438
put_back_0,201,26,441
put_back_0,201,27,442
put_back_0,351,43,442
put_back_0,401,36,444
put_back_0,451,33,446
put_back_0,301,28,447
put_back_0,51,44,448
put_back_0,151,43,449
put_back_0,151,44,450
put_back_0,201,28,450
put_back_0,251,37,453
put_back_0,101,45,454
put_back_0,451,34,454
put_back_0,451,35,458
put_back_0,301,29,459
put_back_0,351,44,462
put_back_0,51,45,463
put_back_0,101,46,463
put_back_0,151,45,466
put_back_0,251,38,466
put_back_0,1,35,467
put_back_0,301,30,469
put_back_0,101,47,473
put_back_0,151,46,474
put_back_0,251,39,475
put_back_0,301,31,475
put_back_0,401,37,479
put_back_0,151,47,480
put_back_0,351,45,480
put_back_0,301,32,481
put_back_0,251,40,482
put_back_0,51,46,484
put_back_0,51,47,486
put_back_0,351,46,487
put_back_0,101,48,488
put_back_0,151,48,488
put_back_0,451,36,488
put_back_0,101,49,489
put_back_0,401,38,489
put_back_0,51,48,490
put_back_0,401,39,493
put_back_0,51,49,494
put_back_0,251,41,495
put_back_0,401,40,495
put_back_0,1,36,496
put_back_0,301,33,496
put_back_0,201,29,497
put_back_0,351,47,499
put_back_0,51,50,503
put_back_0,151,49,503
put_back_0,51,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,52,0,0
put_back_0,101,50,504
put_back_0,101,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,151,50,505
put_back_0,451,37,505
put_back_0,102,0,0
put_back_0,151,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,351,48,506
put_back_0,152,0,0
put_back_0,152,0,0
put_back_0,152,1,2
put_back_0,351,49,507
put_back_0,201,30,509
put_back_0,301,34,509
put_back_0,451,38,510
put_back_0,451,39,511
put_back_0,52,1,9
put_back_0,52,2,11
put_back_0,102,1,11
put_back_0,152,2,10
put_back_0,201,31,516
put_back_0,251,42,516
put_back_0,251,43,517
put_back_0,301,35,519
put_back_0,401,41,519
put_back_0,52,3,17
put_back_0,251,44,522
put_back_0,102,2,19
put_back_0,201,32,523
put_back_0,351,50,524
put_back_0,351,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,301,36,525
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,1,1
put_back_0,401,42,526
put_back_0,352,2,5
put_back_0,401,43,530
put_back_0,1,37,531
put_back_0,1,38,532
put_back_0,251,45,536
put_back_0,451,40,536
put_back_0,201,33,539
put_back_0,301,37,539
put_back_0,152,3,35
put_back_0,251,46,541
put_back_0,152,4,39
put_back_0,451,41,545
put_back_0,52,4,43
put_back_0,102,3,43
put_back_0,1,39,548
put_back_0,301,38,552
put_back_0,401,44,552
put_back_0,251,47,553
put_back_0,301,39,553
put_back_0,52,5,54
put_back_0,352,3,33
put_back_0,451,42,558
put_back_0,301,40,560
put_back_0,251,48,562
put_back_0,401,45,562
put_back_0,352,4,40
put_back_0,152,5,60
put_back_0,401,46,565
put_back_0,251,49,567
put_back_0,352,5,49
put_back_0,401,47,573
put_back_0,352,6,50
put_back_0,401,48,576
put_back_0,152,6,73
put_back_0,102,4,75
put_back_0,251,50,579
put_back_0,251,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,1,3
put_back_0,301,41,584
put_back_0,1,40,586
put_back_0,401,49,586
put_back_0,252,2,8
put_back_0,301,42,587
put_back_0,152,7,83
put_back_0,201,34,589
put_back_0,152,8,86
put_back_0,451,43,591
put_back_0,252,3,14
put_back_0,152,9,91
put_back_0,52,6,97
put_back_0,201,35,600
put_back_0,401,50,600
put_back_0,401,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,252,4,27
put_back_0,451,44,606
put_back_0,102,5,104
put_back_0,152,10,103
put_back_0,352,7,84
put_back_0,402,1,8
put_back_0,451,45,608
