config_id,episode,n_capture,n_steps
put_back_0,101,0,0
put_back_0,201,0,0
put_back_0,301,0,0
put_back_0,401,0,0
put_back_0,501,0,0
put_back_0,601,0,0
put_back_0,701,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,201,0,0
put_back_0,301,0,0
put_back_0,401,0,0
put_back_0,501,0,0
put_back_0,601,0,0
put_back_0,701,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,301,0,0
put_back_0,401,0,0
put_back_0,501,0,0
put_back_0,601,0,0
put_back_0,701,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,401,0,0
put_back_0,501,0,0
put_back_0,601,0,0
put_back_0,701,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,501,0,0
put_back_0,601,0,0
put_back_0,701,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,601,0,0
put_back_0,701,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,701,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,801,0,0
put_back_0,901,0,0
put_back_0,901,0,0
put_back_0,701,1,2
put_back_0,901,1,2
put_back_0,101,1,3
put_back_0,301,1,3
put_back_0,1,1,4
put_back_0,101,2,6
put_back_0,501,1,7
put_back_0,301,2,8
put_back_0,901,2,8
put_back_0,1,2,10
put_back_0,101,3,11
put_back_0,501,2,12
put_back_0,801,1,13
put_back_0,301,3,17
put_back_0,401,1,17
put_back_0,501,3,17
put_back_0,1,3,18
put_back_0,401,2,18
put_back_0,701,2,18
put_back_0,801,2,19
put_back_0,801,3,20
put_back_0,601,1,21
put_back_0,101,4,22
put_back_0,301,4,24
put_back_0,801,4,24
put_back_0,901,3,28
put_back_0,101,5,30
put_back_0,601,2,31
put_back_0,101,6,33
put_back_0,601,3,33
put_back_0,701,3,33
put_back_0,501,4,35
put_back_0,401,3,38
put_back_0,101,7,41
put_back_0,201,1,41
put_back_0,401,4,41
put_back_0,1,4,42
put_back_0,601,4,42
put_back_0,701,4,43
put_back_0,401,5,44
put_back_0,901,4,45
put_back_0,901,5,46
put_back_0,1,5,48
put_back_0,201,2,48
put_back_0,801,5,48
put_back_0,901,7,50
put_back_0,501,5,52
put_back_0,101,8,53
put_back_0,1,6,54
put_back_0,601,5,54
put_back_0,301,5,55
put_back_0,601,6,55
put_back_0,901,8,55
put_back_0,401,6,60
put_back_0,801,6,60
put_back_0,501,6,61
put_back_0,801,7,61
put_back_0,501,7,62
put_back_0,101,9,63
put_back_0,301,6,65
put_back_0,501,8,67
put_back_0,101,10,68
put_back_0,801,8,71
put_back_0,501,9,72
put_back_0,401,7,73
put_back_0,601,7,74
put_back_0,1,7,76
put_back_0,1,8,79
put_back_0,101,11,79
put_back_0,201,3,79
put_back_0,601,9,79
put_back_0,701,5,79
put_back_0,601,10,80
put_back_0,301,7,81
put_back_0,401,8,82
put_back_0,901,9,82
put_back_0,201,5,83
put_back_0,501,10,83
put_back_0,601,11,84
put_back_0,1,9,86
put_back_0,801,9,87
put_back_0,801,10,89
put_back_0,1,10,92
put_back_0,401,9,92
put_back_0,901,10,92
put_back_0,201,6,94
put_back_0,901,11,94
put_back_0,401,10,96
put_back_0,901,12,96
put_back_0,701,6,97
put_back_0,101,12,98
put_back_0,1,11,101
put_back_0,901,13,101
put_back_0,201,7,102
put_back_0,401,11,105
put_back_0,601,12,106
put_back_0,1,12,107
put_back_0,501,11,108
put_back_0,701,7,108
put_back_0,101,13,110
put_back_0,1,13,114
put_back_0,201,8,114
put_back_0,601,13,115
put_back_0,1,14,121
put_back_0,201,9,122
put_back_0,601,14,123
put_back_0,301,8,124
put_back_0,801,11,124
put_back_0,401,12,125
put_back_0,501,12,126
put_back_0,1,15,128
put_back_0,1,16,129
put_back_0,901,14,129
put_back_0,101,14,131
put_back_0,501,13,132
put_back_0,801,12,135
put_back_0,401,13,138
put_back_0,501,14,138
put_back_0,401,14,142
put_back_0,501,15,142
put_back_0,701,8,142
put_back_0,901,15,143
put_back_0,301,9,144
put_back_0,601,15,146
put_back_0,801,13,146
put_back_0,101,15,148
put_back_0,301,10,148
put_back_0,601,16,150
put_back_0,201,10,151
put_back_0,601,17,151
put_back_0,301,11,153
put_back_0,501,16,153
put_back_0,701,9,156
put_back_0,801,14,157
put_back_0,301,12,158
put_back_0,401,15,158
put_back_0,601,18,158
put_back_0,401,16,160
put_back_0,1,17,162
put_back_0,601,19,163
put_back_0,801,15,163
put_back_0,101,16,169
put_back_0,901,16,170
put_back_0,601,20,171
put_back_0,801,16,173
put_back_0,101,17,174
put_back_0,701,10,175
put_back_0,501,17,177
put_back_0,301,13,178
put_back_0,801,17,178
put_back_0,1,18,179
put_back_0,601,21,179
put_back_0,1,19,180
put_back_0,1,20,183
put_back_0,101,18,183
put_back_0,701,11,184
put_back_0,401,17,186
put_back_0,601,22,186
put_back_0,901,17,189
put_back_0,1,21,190
put_back_0,1,22,191
put_back_0,501,18,192
put_back_0,601,23,193
put_back_0,1,23,194
put_back_0,401,18,194
put_back_0,801,18,194
put_back_0,701,12,195
put_back_0,101,19,196
put_back_0,301,14,196
put_back_0,201,11,197
put_back_0,401,19,198
put_back_0,901,18,198
put_back_0,201,12,199
put_back_0,801,19,201
put_back_0,601,24,202
put_back_0,301,15,206
put_back_0,201,13,207
put_back_0,601,25,207
put_back_0,401,20,209
put_back_0,901,19,209
put_back_0,501,19,210
put_back_0,801,20,210
put_back_0,701,13,212
put_back_0,101,20,213
put_back_0,401,21,216
put_back_0,301,16,217
put_back_0,501,20,217
put_back_0,801,21,218
put_back_0,901,20,218
put_back_0,301,17,220
put_back_0,801,22,221
put_back_0,1,24,222
put_back_0,201,14,222
put_back_0,401,22,225
put_back_0,801,23,225
put_back_0,401,23,227
put_back_0,101,21,228
put_back_0,201,15,228
put_back_0,401,24,228
put_back_0,901,21,229
put_back_0,601,26,232
put_back_0,801,24,232
put_back_0,1,25,233
put_back_0,201,16,236
put_back_0,101,22,237
put_back_0,401,25,237
put_back_0,601,27,238
put_back_0,801,25,238
put_back_0,501,21,239
put_back_0,1,26,242
put_back_0,801,26,243
put_back_0,601,28,244
put_back_0,901,22,244
put_back_0,101,23,245
put_back_0,201,17,246
put_back_0,301,18,246
put_back_0,1,27,248
put_back_0,301,19,248
put_back_0,301,20,249
put_back_0,501,22,249
put_back_0,901,23,252
put_back_0,1,28,256
put_back_0,601,29,259
put_back_0,401,26,260
put_back_0,501,23,260
put_back_0,501,24,263
put_back_0,601,30,263
put_back_0,401,27,264
put_back_0,501,25,267
put_back_0,701,14,267
put_back_0,301,21,268
put_back_0,1,29,269
put_back_0,901,24,269
put_back_0,701,15,271
put_back_0,401,28,272
put_back_0,801,27,274
put_back_0,501,26,276
put_back_0,401,29,279
put_back_0,301,22,280
put_back_0,701,16,280
put_back_0,201,19,281
put_back_0,101,24,282
put_back_0,301,23,283
put_back_0,901,25,283
put_back_0,1,30,284
put_back_0,1,31,286
put_back_0,601,31,287
put_back_0,701,17,288
put_back_0,901,26,290
put_back_0,701,18,292
put_back_0,901,27,293
put_back_0,801,28,294
put_back_0,301,24,296
put_back_0,101,25,298
put_back_0,301,25,298
put_back_0,101,26,299
put_back_0,701,19,300
put_back_0,801,29,302
put_back_0,701,20,303
put_back_0,801,30,303
put_back_0,301,26,304
put_back_0,201,20,306
put_back_0,101,27,307
put_back_0,901,28,308
put_back_0,1,32,309
put_back_0,301,27,309
put_back_0,1,33,312
put_back_0,401,30,312
put_back_0,501,27,312
put_back_0,601,32,313
put_back_0,701,21,316
put_back_0,901,29,316
put_back_0,801,31,317
put_back_0,1,34,318
put_back_0,201,21,319
put_back_0,401,31,319
put_back_0,601,33,319
put_back_0,1,35,323
put_back_0,701,22,324
put_back_0,801,32,324
put_back_0,901,30,326
put_back_0,301,28,327
put_back_0,501,28,327
put_back_0,301,29,328
put_back_0,601,34,328
put_back_0,101,28,330
put_back_0,301,30,330
put_back_0,301,31,331
put_back_0,601,35,332
put_back_0,401,32,333
put_back_0,1,36,334
put_back_0,601,36,337
put_back_0,1,38,339
put_back_0,501,29,340
put_back_0,201,22,342
put_back_0,701,23,342
put_back_0,201,23,343
put_back_0,101,29,344
put_back_0,1,39,345
put_back_0,801,33,345
put_back_0,1,40,348
put_back_0,501,30,348
put_back_0,201,24,351
put_back_0,201,25,352
put_back_0,401,33,352
put_back_0,701,24,352
put_back_0,801,34,352
put_back_0,301,32,357
put_back_0,1,41,358
put_back_0,501,31,360
put_back_0,701,25,361
put_back_0,401,34,362
put_back_0,201,26,363
put_back_0,901,31,365
put_back_0,101,30,367
put_back_0,501,32,368
put_back_0,201,27,369
put_back_0,801,35,370
put_back_0,101,31,371
put_back_0,501,33,371
put_back_0,901,32,371
put_back_0,801,36,372
put_back_0,601,37,373
put_back_0,901,33,376
put_back_0,801,37,377
put_back_0,1,42,378
put_back_0,601,38,378
put_back_0,701,26,378
put_back_0,501,34,380
put_back_0,1,43,381
put_back_0,801,38,382
put_back_0,701,27,383
put_back_0,101,32,384
put_back_0,101,33,385
put_back_0,401,35,385
put_back_0,801,39,385
put_back_0,701,28,387
put_back_0,1,44,389
put_back_0,401,36,389
put_back_0,601,39,390
put_back_0,801,40,390
put_back_0,901,34,390
put_back_0,201,28,392
put_back_0,701,29,392
put_back_0,801,41,394
put_back_0,601,40,395
put_back_0,701,30,395
put_back_0,1,45,397
put_back_0,501,35,397
put_back_0,301,33,399
put_back_0,401,37,403
put_back_0,101,34,406
put_back_0,901,35,406
put_back_0,201,29,407
put_back_0,401,38,408
put_back_0,301,34,409
put_back_0,201,30,411
put_back_0,801,42,411
put_back_0,101,35,412
put_back_0,801,43,412
put_back_0,501,36,413
put_back_0,601,41,413
put_back_0,901,36,413
put_back_0,1,46,414
put_back_0,101,36,414
put_back_0,401,39,416
put_back_0,201,31,417
put_back_0,501,37,420
put_back_0,801,44,420
put_back_0,501,38,421
put_back_0,601,42,421
put_back_0,701,31,421
put_back_0,1,47,423
put_back_0,101,37,423
put_back_0,601,43,423
put_back_0,201,32,424
put_back_0,401,40,424
put_back_0,901,37,424
put_back_0,801,45,426
put_back_0,101,38,429
put_back_0,601,44,429
put_back_0,301,36,430
put_back_0,501,39,430
put_back_0,1,48,431
put_back_0,901,38,431
put_back_0,201,33,432
put_back_0,601,45,432
put_back_0,901,39,432
put_back_0,401,41,439
put_back_0,701,32,441
put_back_0,501,41,442
put_back_0,601,46,442
put_back_0,1,49,445
put_back_0,701,33,446
put_back_0,1,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,1,1
put_back_0,2,2,2
put_back_0,901,40,449
put_back_0,401,42,450
put_back_0,901,41,450
put_back_0,301,37,452
put_back_0,101,39,453
put_back_0,401,43,453
put_back_0,601,47,455
put_back_0,401,44,459
put_back_0,301,38,460
put_back_0,2,3,14
put_back_0,901,42,463
put_back_0,301,39,465
put_back_0,401,45,465
put_back_0,601,48,465
put_back_0,901,43,465
put_back_0,501,42,466
put_back_0,901,44,467
put_back_0,201,34,468
put_back_0,2,4,23
put_back_0,701,34,470
put_back_0,401,46,471
put_back_0,101,40,472
put_back_0,501,43,472
put_back_0,201,35,473
put_back_0,601,49,473
put_back_0,701,35,473
put_back_0,901,45,473
put_back_0,601,50,477
put_back_0,601,0,0
put_back_0,602,0,0
put_back_0,602,0,0
put_back_0,602,0,0
put_back_0,501,44,478
put_back_0,602,0,0
put_back_0,602,0,0
put_back_0,602,0,0
put_back_0,602,0,0
put_back_0,602,0,0
put_back_0,602,0,0
put_back_0,101,41,479
put_back_0,2,5,33
put_back_0,501,45,480
put_back_0,801,46,480
put_back_0,801,47,486
put_back_0,901,46,487
put_back_0,101,42,488
put_back_0,201,36,491
put_back_0,501,46,491
put_back_0,701,36,494
put_back_0,301,40,495
put_back_0,501,47,495
put_back_0,801,48,495
put_back_0,101,43,497
put_back_0,901,47,497
put_back_0,101,44,498
put_back_0,2,6,52
put_back_0,201,37,500
put_back_0,301,41,500
put_back_0,401,47,503
put_back_0,301,42,504
put_back_0,901,48,504
put_back_0,701,37,505
put_back_0,101,45,506
put_back_0,602,1,29
put_back_0,801,49,510
put_back_0,701,38,511
put_back_0,101,46,512
put_back_0,801,50,513
put_back_0,801,0,0
put_back_0,802,0,0
put_back_0,501,48,514
put_back_0,802,0,0
put_back_0,901,49,514
put_back_0,802,0,0
put_back_0,802,0,0
put_back_0,802,0,0
put_back_0,802,0,0
put_back_0,802,0,0
put_back_0,802,0,0
put_back_0,802,0,0
put_back_0,401,48,515
put_back_0,101,47,516
put_back_0,901,50,517
put_back_0,901,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,902,0,0
put_back_0,2,7,72
put_back_0,802,1,6
put_back_0,101,48,522
put_back_0,802,2,11
put_back_0,902,1,9
put_back_0,602,2,50
put_back_0,201,38,528
put_back_0,101,49,529
put_back_0,401,49,529
put_back_0,701,39,530
put_back_0,802,3,18
put_back_0,401,50,532
put_back_0,401,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,1,1
put_back_0,201,39,535
put_back_0,701,40,536
put_back_0,402,2,5
put_back_0,2,8,91
put_back_0,602,3,61
put_back_0,902,2,21
put_back_0,501,49,539
put_back_0,802,4,26
put_back_0,701,41,540
put_back_0,602,4,64
put_back_0,101,50,542
put_back_0,101,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,102,0,0
put_back_0,902,3,27
put_back_0,902,4,28
put_back_0,2,9,99
put_back_0,802,5,33
put_back_0,2,10,100
put_back_0,201,40,548
put_back_0,2,11,102
put_back_0,802,6,37
put_back_0,701,42,551
put_back_0,402,3,20
put_back_0,701,43,552
put_back_0,602,5,76
put_back_0,301,43,555
put_back_0,602,6,78
put_back_0,102,1,14
put_back_0,501,50,556
put_back_0,501,0,0
put_back_0,502,0,0
put_back_0,502,0,0
put_back_0,502,0,0
put_back_0,502,0,0
put_back_0,2,12,110
put_back_0,502,0,0
put_back_0,502,0,0
put_back_0,502,0,0
put_back_0,502,0,0
put_back_0,502,0,0
put_back_0,701,44,558
put_back_0,902,5,41
put_back_0,2,13,112
put_back_0,102,2,18
put_back_0,902,6,43
put_back_0,602,7,86
put_back_0,102,3,22
put_back_0,301,44,567
put_back_0,902,7,50
put_back_0,2,14,121
put_back_0,602,8,92
put_back_0,701,45,569
put_back_0,502,1,15
put_back_0,802,7,59
put_back_0,301,45,574
put_back_0,902,8,57
put_back_0,102,4,33
put_back_0,602,9,98
put_back_0,701,46,578
put_back_0,802,8,65
put_back_0,701,47,579
put_back_0,402,4,50
put_back_0,701,48,583
put_back_0,102,5,43
put_back_0,2,15,139
put_back_0,2,16,140
put_back_0,701,49,588
put_back_0,902,9,73
put_back_0,201,41,591
put_back_0,902,10,74
put_back_0,2,17,145
put_back_0,602,11,116
put_back_0,701,50,593
put_back_0,701,0,0
put_back_0,702,0,0
put_back_0,702,0,0
put_back_0,402,5,62
put_back_0,702,0,0
put_back_0,702,0,0
put_back_0,702,0,0
put_back_0,702,0,0
put_back_0,702,0,0
put_back_0,702,0,0
put_back_0,702,0,0
put_back_0,301,46,595
put_back_0,902,11,78
put_back_0,802,9,83
put_back_0,2,18,151
put_back_0,301,47,600
put_back_0,502,2,44
put_back_0,102,6,59
put_back_0,802,10,88
put_back_0,301,48,602
put_back_0,402,6,70
put_back_0,702,1,9
put_back_0,301,49,603
put_back_0,102,7,63
put_back_0,301,50,605
put_back_0,301,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,102,8,65
put_back_0,602,12,130
put_back_0,902,12,90
put_back_0,702,2,15
put_back_0,201,42,609
put_back_0,2,19,163
put_back_0,302,1,6
put_back_0,2,20,165
put_back_0,802,11,99
put_back_0,2,21,169
put_back_0,302,2,11
put_back_0,201,43,619
put_back_0,602,13,142
put_back_0,102,9,78
put_back_0,402,7,88
put_back_0,702,3,27
put_back_0,2,22,174
put_back_0,702,4,32
put_back_0,201,44,626
put_back_0,502,3,71
put_back_0,902,13,110
put_back_0,2,23,182
put_back_0,302,3,26
put_back_0,602,14,154
put_back_0,902,14,115
put_back_0,602,15,157
put_back_0,201,45,637
put_back_0,2,25,191
put_back_0,502,4,82
put_back_0,602,16,161
put_back_0,702,5,48
put_back_0,902,15,124
put_back_0,602,17,169
put_back_0,802,12,134
put_back_0,502,5,93
put_back_0,402,8,118
put_back_0,902,16,133
put_back_0,2,26,204
put_back_0,602,18,180
put_back_0,402,9,126
put_back_0,702,6,65
put_back_0,102,10,117
put_back_0,2,27,213
put_back_0,902,17,143
put_back_0,602,19,185
put_back_0,201,46,665
put_back_0,502,6,109
put_back_0,2,28,219
put_back_0,802,13,153
put_back_0,402,10,135
put_back_0,502,7,111
put_back_0,902,18,150
put_back_0,702,7,76
put_back_0,302,4,65
put_back_0,102,11,129
put_back_0,902,19,156
put_back_0,102,13,132
put_back_0,602,20,197
put_back_0,201,47,675
put_back_0,302,5,70
put_back_0,102,14,134
put_back_0,2,29,230
put_back_0,802,14,164
put_back_0,302,6,74
put_back_0,2,30,235
put_back_0,502,8,126
put_back_0,602,21,205
put_back_0,802,15,170
put_back_0,2,31,237
put_back_0,201,48,685
put_back_0,802,16,172
put_back_0,302,7,81
put_back_0,102,15,145
put_back_0,502,9,132
put_back_0,902,20,174
put_back_0,802,17,179
put_back_0,902,21,175
put_back_0,902,22,178
put_back_0,402,11,164
put_back_0,102,16,155
put_back_0,201,49,697
put_back_0,302,8,92
put_back_0,902,23,184
put_back_0,2,32,255
put_back_0,602,22,229
put_back_0,2,33,260
put_back_0,502,10,151
put_back_0,802,18,195
put_back_0,102,17,167
put_back_0,201,50,709
put_back_0,402,12,177
put_back_0,902,24,192
put_back_0,201,0,0
put_back_0,202,0,0
put_back_0,202,0,0
